10
32 427
25 11 47
32 4 91
6 28 63
2 16 70
15 3 23
19 8 54
21 30 100
19 23 74
2 4 60
20 7 3
5 1 20
6 30 34
24 32 48
23 8 56
6 22 48
8 24 74
11 5 69
25 24 96
21 3 64
15 19 22
16 26 16
11 32 16
21 28 18
18 7 38
5 29 88
3 29 80
32 2 35
30 10 38
1 29 88
35 436
20 3 50
19 6 69
19 13 22
11 30 15
31 21 23
21 3 49
20 11 81
21 22 86
22 31 49
29 5 16
30 7 6
35 34 36
23 29 77
15 8 34
10 31 21
20 26 12
8 23 12
31 6 27
25 30 54
8 18 45
3 1 86
29 32 97
6 34 18
14 16 50
20 31 22
25 33 25
18 27 6
20 1 8
1 25 24
10 29 60
32 26 70
25 19 12
34 20 21
27 29 30
33 34 8
11 19 31
29 14 8
34 23 53
27 31 50
34 7 73
21 20 23
27 7 37
24 19 1
26 13 32
29 25 55
24 23 76
14 5 25
31 35 13
13 30 9
19 35 8
32 10 74
3 16 24
5 34 49
8 30 21
16 26 55
33 3 54
18 15 7
15 24 26
25 31 21
19 2 96
35 14 80
33 27 63
21 5 11
7 29 41
35 26 22
13 15 78
26 11 1
26 3 1
3 31 79
31 13 93
22 26 64
15 14 50
31 32 70
21 2 69
20 30 70
35 11 9
6 14 4
19 5 27
6 23 69
14 7 26
7 5 20
13 21 51
20 22 44
6 32 16
24 27 86
2 14 89
34 27 78
13 5 73
13 7 77
25 28 15
25 2 87
20 6 42
7 15 16
7 16 47
33 7 40
7 23 22
19 32 76
15 19 23
33 18 10
1 21 90
33 24 45
20 33 54
6 35 57
16 2 61
30 26 99
3 15 72
21 15 27
35 18 7
8 32 67
26 27 15
30 3 57
27 2 2
18 22 14
19 22 45
34 13 33
6 25 11
32 21 41
19 33 6
26 21 49
34 8 19
34 21 81
29 1 31
20 19 82
30 31 13
15 1 93
1 11 89
24 29 5
32 2 11
16 20 28
24 25 22
13 23 44
24 5 18
10 24 97
30 23 100
27 11 70
20 5 69
13 11 56
3 29 24
25 27 55
10 6 51
35 2 37
6 5 87
32 25 28
1 18 52
7 6 37
32 22 32
8 26 86
2 34 84
15 30 81
31 24 37
32 18 84
5 8 31
13 16 37
2 3 80
20 27 62
30 1 5
15 25 71
7 22 71
8 35 96
13 18 54
5 15 63
20 10 43
5 11 17
34 15 75
31 29 4
35 29 79
34 22 32
3 22 48
5 31 15
35 23 92
11 24 96
22 12 93
16 22 42
8 6 58
14 18 42
16 21 4
7 18 95
6 27 6
5 32 91
34 16 29
24 6 56
30 10 15
11 8 73
22 13 27
10 35 44
24 18 85
6 18 99
7 19 26
18 34 52
4 20 82
8 22 84
7 24 3
20 25 23
1 5 11
15 23 78
26 10 13
27 10 14
16 15 44
10 25 20
34 24 12
2 8 46
1 24 51
30 2 100
35 16 92
30 16 90
8 33 87
2 33 27
21 24 12
1 31 34
22 27 15
22 35 88
11 16 10
21 7 55
23 21 41
32 7 13
25 22 9
10 11 47
11 15 98
1 7 30
31 26 20
22 1 98
13 24 28
31 7 22
32 34 81
24 8 84
22 24 27
1 14 42
19 21 56
27 23 61
20 8 20
31 23 9
2 6 28
2 7 69
14 19 87
10 22 88
33 5 46
5 30 76
31 8 87
35 33 84
6 30 14
26 14 97
33 16 20
19 3 40
25 21 55
18 19 83
33 31 54
3 23 10
3 13 65
6 16 44
33 26 33
18 5 94
16 5 41
10 3 23
14 22 49
25 5 41
11 33 53
16 1 2
6 1 25
32 13 70
22 11 84
25 34 37
14 11 6
1 27 46
6 26 96
27 35 78
29 18 73
22 5 77
13 1 82
34 29 73
8 25 23
14 13 37
16 24 80
35 25 10
18 3 13
3 6 73
15 31 40
8 14 21
27 8 95
6 21 87
20 32 41
7 20 27
23 1 23
16 8 66
29 20 75
6 29 63
14 32 24
14 27 62
13 2 48
32 30 88
26 29 17
19 23 20
33 15 6
24 3 38
29 8 59
20 14 89
29 19 18
19 31 94
18 21 93
10 1 33
14 23 78
19 10 29
30 18 3
32 35 45
2 22 100
34 1 2
25 3 40
8 7 98
16 19 71
35 20 66
30 22 25
21 11 16
11 23 32
24 26 4
3 8 42
19 8 73
8 21 50
26 5 84
17 28 16
18 2 29
11 31 65
18 20 13
31 34 27
16 23 16
14 24 61
11 2 62
15 35 1
1 26 93
3 7 21
30 35 62
30 19 50
7 25 63
16 27 84
35 7 64
10 34 42
18 11 82
6 22 67
24 30 49
31 2 41
19 26 20
25 18 93
2 26 6
11 32 69
10 8 82
35 13 78
3 5 62
30 34 66
35 24 5
26 25 71
33 32 20
32 15 13
5 35 52
18 26 16
2 29 31
23 5 72
21 29 84
11 29 63
21 10 2
11 34 74
25 23 2
6 11 38
34 3 92
21 33 56
2 24 79
29 16 9
29 13 21
23 26 95
27 3 44
19 27 60
16 32 30
16 25 46
21 27 59
13 6 77
15 2 71
8 1 33
3 11 12
7 26 43
2 10 70
22 33 55
33 1 89
10 14 40
8 13 80
20 13 82
15 20 13
25 13 63
14 31 80
14 21 89
21 30 63
14 9 76
5 10 6
33 10 78
14 3 100
29 15 53
3 32 56
3 35 43
16 31 93
23 22 73
15 26 12
19 34 15
33 13 96
16 18 43
27 15 98
23 2 87
29 30 64
22 29 50
1 19 4
35 1 65
1 2 91
13 27 99
6 15 56
1 32 31
18 31 9
30 14 64
30 33 41
14 33 39
34 26 30
5 27 20
30 27 59
23 32 21
22 15 57
25 14 4
34 14 33
11 25 61
23 33 25
29 33 72
7 11 49
10 13 96
2 20 60
6 33 12
24 20 14
2 5 59
24 32 53
18 10 97
23 20 21
18 23 30
27 32 1
21 35 81
7 7
1 4 99
4 3 82
1 7 76
6 4 39
2 4 73
4 7 94
5 7 94
48 260
31 25 78
45 9 28
47 33 20
22 23 48
3 5 81
45 29 26
44 45 93
24 18 62
12 11 4
25 9 36
28 44 74
31 12 82
14 10 54
27 31 27
7 27 86
28 5 59
11 28 77
4 46 38
12 45 46
31 22 25
23 20 94
27 12 54
20 44 61
33 31 66
25 12 21
20 12 15
20 27 86
3 9 82
22 29 46
19 40 24
22 28 19
27 45 86
14 15 34
23 9 64
5 19 82
3 20 9
16 23 100
12 3 22
12 33 14
23 28 3
46 16 41
11 23 94
45 34 38
4 7 56
40 29 70
4 5 96
20 25 38
5 16 64
9 22 91
28 29 62
44 25 58
44 16 45
5 31 73
19 27 43
7 23 14
25 4 97
3 40 62
19 28 74
40 25 42
28 40 91
46 3 29
11 7 72
11 46 26
46 12 6
19 33 90
19 44 6
33 40 25
7 9 74
44 29 57
3 4 34
19 22 75
45 31 28
29 33 30
20 9 21
46 29 37
3 44 18
4 9 35
44 27 48
24 2 53
27 16 75
40 20 67
9 29 43
8 28 79
4 45 35
40 44 18
27 29 62
27 43 47
7 45 44
4 33 95
20 22 25
35 24 7
44 46 53
33 26 45
22 33 54
45 25 80
26 21 64
9 27 18
19 25 100
46 45 82
19 16 7
27 23 2
31 19 28
44 33 86
28 7 65
46 10 2
46 9 41
12 40 66
27 46 39
4 29 100
16 12 7
7 5 56
11 25 56
19 20 94
16 3 31
45 11 26
25 37 24
4 44 80
40 16 88
44 23 33
22 4 58
22 46 32
4 27 80
3 23 99
23 31 1
33 11 50
9 44 22
31 29 71
22 27 66
31 32 31
5 33 86
45 16 40
4 19 84
3 25 19
11 19 88
23 19 98
40 11 73
25 30 42
11 9 53
25 27 75
3 28 81
45 5 96
12 22 10
12 23 100
31 10 49
28 25 38
25 23 91
16 22 88
3 22 36
29 23 61
28 33 19
23 45 10
40 22 35
4 28 22
45 22 42
4 31 71
31 44 74
5 42 69
25 5 95
7 12 96
45 33 81
16 7 75
12 19 25
17 29 28
20 5 40
20 46 97
28 27 52
5 46 1
16 9 88
40 46 64
7 40 11
25 7 1
28 20 87
44 11 67
23 5 16
44 22 74
19 9 31
3 29 20
4 12 3
33 25 15
29 11 5
12 29 55
45 3 42
40 23 3
31 28 12
16 28 1
40 31 79
33 7 43
27 11 78
20 4 44
4 16 92
11 24 73
7 19 1
7 20 97
3 27 55
44 7 2
3 19 43
28 46 74
27 33 51
46 25 68
12 28 82
20 16 69
1 6 99
16 29 16
28 9 66
5 10 64
46 23 36
3 11 86
19 29 60
5 27 68
33 20 48
29 7 45
9 40 63
45 28 96
29 5 44
12 5 25
12 9 97
46 7 60
1 41 80
11 16 44
31 20 88
45 40 78
5 44 97
20 11 73
40 5 1
9 31 18
7 3 65
20 45 96
33 9 23
40 38 89
33 16 40
11 31 70
16 13 20
46 31 42
32 6 15
48 27 77
46 33 71
46 19 51
29 20 82
4 10 55
11 5 19
33 23 92
4 11 47
23 4 81
19 45 6
23 39 2
31 3 33
25 29 26
9 5 14
40 4 91
31 7 23
11 22 54
22 7 41
22 5 67
3 33 79
40 27 41
31 16 62
44 12 88
25 16 32
25 22 55
7 36 38
24 254
16 2 6
24 2 40
7 5 47
13 7 26
5 16 3
4 1 27
7 2 44
11 1 70
12 24 27
20 7 12
4 24 55
7 4 3
6 14 14
2 9 36
9 11 33
15 12 37
24 11 4
21 22 65
20 16 77
16 23 65
12 9 37
7 1 18
5 22 66
16 7 54
19 9 88
12 2 90
18 16 27
14 20 70
15 1 24
4 5 11
5 9 30
20 19 43
19 18 63
6 24 39
21 11 65
2 6 75
24 21 91
7 24 15
9 6 84
22 7 18
22 18 21
8 6 52
13 10 22
23 21 1
23 6 3
6 22 38
6 12 16
12 13 68
20 15 85
19 6 54
23 20 23
2 5 24
14 21 82
9 24 79
2 3 36
17 14 22
16 4 39
6 1 53
4 22 36
11 13 71
12 16 99
8 17 69
9 18 70
2 8 86
23 7 48
19 16 44
24 16 34
8 16 30
7 17 23
14 10 95
1 12 89
18 10 20
10 16 39
10 2 83
14 11 41
6 17 15
8 23 56
20 24 69
15 23 14
5 20 11
22 14 4
20 21 66
11 19 99
14 9 4
8 24 30
21 12 60
1 22 73
21 1 7
7 12 66
10 21 67
10 24 73
15 19 58
10 9 50
8 14 2
2 11 83
21 5 26
19 4 61
23 13 29
13 22 23
12 23 62
6 11 99
4 21 28
13 1 25
23 5 46
17 21 53
23 14 74
5 10 54
9 1 56
23 18 24
18 20 22
9 16 63
9 17 5
8 11 88
4 17 5
15 21 11
23 2 89
10 22 47
8 19 71
6 15 2
20 6 38
20 1 80
1 24 23
7 14 19
10 6 51
24 22 12
11 16 85
4 6 27
4 14 12
21 8 90
12 4 40
20 17 47
11 20 7
14 24 70
4 20 59
21 13 73
23 17 73
13 9 65
14 12 95
11 22 6
15 10 20
15 18 7
19 7 95
8 18 14
12 5 91
17 16 81
24 13 89
15 4 92
4 13 52
19 22 79
21 18 57
20 10 63
1 8 46
8 4 82
8 7 55
10 23 95
9 8 65
17 22 70
2 21 63
15 24 45
12 8 40
15 22 66
20 13 82
2 1 90
17 13 1
14 13 72
2 19 100
9 20 24
10 7 5
24 5 41
20 22 75
18 11 14
8 22 65
16 15 36
13 16 42
18 14 8
15 9 96
10 11 30
12 19 97
2 15 8
8 10 44
11 12 93
11 15 32
14 1 35
7 18 87
22 2 68
7 15 21
1 17 77
5 15 88
14 5 35
21 6 37
13 18 20
14 19 89
12 18 59
6 18 7
18 24 62
7 6 10
12 17 18
23 19 30
6 13 57
13 19 13
16 14 92
13 2 52
2 18 71
16 6 51
5 6 69
5 18 29
21 7 38
7 11 2
9 22 72
8 13 82
21 9 22
24 19 51
19 21 36
12 20 66
5 1 90
16 1 22
20 2 23
5 11 20
17 5 29
15 17 11
10 19 22
21 16 100
10 4 13
19 17 30
23 1 53
15 8 83
5 19 44
22 12 85
14 15 80
24 17 27
8 20 47
11 4 22
17 2 96
10 17 51
16 22 14
4 23 83
14 2 41
18 4 41
18 1 21
19 1 15
23 11 25
4 9 70
8 5 51
9 23 67
11 17 45
24 23 11
22 23 100
13 5 1
1 10 74
9 7 49
12 10 87
18 17 71
4 2 36
13 15 67
15 88
8 15 4
3 12 23
14 1 54
1 13 5
9 2 90
11 14 52
8 11 95
15 13 82
11 1 96
4 15 87
12 1 91
3 5 98
2 6 1
2 4 23
6 14 14
3 11 50
5 11 33
12 9 46
9 1 72
2 14 52
15 12 58
6 4 6
8 5 78
9 5 84
3 9 3
13 6 10
4 3 82
9 4 91
4 12 4
12 5 66
8 14 13
4 11 24
2 8 30
8 9 92
15 10 84
8 3 14
10 14 25
8 10 39
12 6 42
1 8 76
1 2 9
14 9 28
11 9 7
5 1 23
14 13 31
9 10 80
10 11 85
4 1 21
4 10 97
12 11 69
3 10 2
3 13 25
14 4 71
12 8 49
5 4 82
6 9 14
6 8 95
2 3 52
6 1 46
5 10 67
15 3 26
15 5 44
14 15 19
1 3 61
14 12 34
6 3 75
10 2 33
6 5 7
12 10 91
5 2 60
5 14 28
13 8 32
1 10 76
7 9 7
12 2 39
15 2 40
6 11 66
8 4 4
10 6 67
3 14 86
11 15 4
5 13 95
1 15 45
11 2 71
10 13 51
9 15 9
6 15 34
2 13 26
41 446
36 24 48
30 7 93
26 13 31
14 21 42
37 16 50
1 12 28
36 25 22
20 14 67
27 5 93
37 30 79
35 36 27
14 22 8
4 16 65
23 32 67
33 14 51
23 17 32
24 7 63
7 38 23
33 35 96
25 29 54
8 12 12
14 5 45
34 41 2
32 17 57
19 16 56
32 1 14
40 15 64
28 4 75
35 41 67
34 17 17
19 20 16
21 19 5
16 22 4
39 26 1
30 27 38
24 23 15
38 12 2
13 16 35
5 8 77
36 30 10
22 17 52
41 32 57
24 21 1
14 1 85
37 12 71
20 1 86
21 22 17
26 33 52
38 41 89
29 22 71
28 34 89
33 12 22
29 16 50
38 25 77
12 28 64
21 20 51
17 37 72
36 16 72
12 20 73
35 17 35
17 29 95
23 5 6
22 8 31
25 1 43
6 41 60
8 14 46
34 24 64
20 41 87
14 16 88
29 8 39
22 32 77
8 37 3
36 8 46
33 7 43
19 4 60
28 26 10
8 41 76
27 38 27
14 23 76
38 4 11
28 8 13
4 34 93
1 37 97
30 12 69
37 4 56
25 30 20
37 33 80
8 20 74
30 23 34
22 34 97
32 35 59
19 25 12
23 26 43
30 33 92
14 37 62
35 30 95
35 37 7
20 36 35
4 23 41
8 1 33
32 19 85
30 1 21
38 33 26
34 27 92
3 26 47
20 17 20
25 27 84
1 33 91
36 29 95
7 35 69
28 7 93
27 16 22
25 23 7
36 19 51
17 13 54
17 4 21
36 13 43
35 27 94
23 27 47
23 35 90
14 12 83
36 26 98
14 30 14
19 13 25
4 41 99
34 12 76
8 23 23
17 16 70
38 13 38
37 36 53
27 13 4
1 26 34
27 20 44
20 35 57
24 12 40
12 36 100
5 30 89
22 7 41
19 1 28
24 32 9
29 23 88
8 4 92
8 24 28
8 16 20
13 4 66
12 32 62
12 26 1
28 35 87
26 21 71
30 13 54
7 12 39
26 24 35
26 22 90
19 33 76
33 8 71
5 36 32
36 34 90
14 32 26
41 14 10
7 29 16
19 28 58
41 16 84
25 20 31
29 21 41
16 32 94
4 36 18
38 32 71
16 1 72
24 37 43
13 25 77
24 25 83
34 16 63
20 22 3
21 12 59
7 36 51
17 21 71
24 16 40
38 28 79
35 19 92
29 20 76
30 32 95
26 27 51
27 33 63
20 33 44
16 33 70
19 30 84
24 14 92
36 23 5
37 22 63
4 1 3
17 24 94
28 13 61
1 15 90
25 28 33
24 13 95
20 34 22
27 12 10
27 22 99
27 8 26
19 27 23
7 5 4
37 38 91
27 24 76
27 41 11
36 17 64
33 21 53
14 28 28
13 35 44
29 26 3
28 10 22
23 12 27
23 38 22
24 38 91
26 7 15
32 21 24
20 32 57
26 30 77
32 25 80
8 26 91
17 7 58
27 28 5
25 22 41
28 23 5
30 20 87
23 20 95
37 27 16
1 28 30
41 36 17
38 1 20
30 24 48
27 1 32
32 36 95
20 13 41
4 26 16
14 13 14
1 21 24
7 27 59
22 30 43
16 5 1
17 14 8
12 29 85
14 4 59
16 2 71
1 5 81
1 23 43
13 5 33
7 20 75
8 19 12
23 16 20
18 23 59
5 28 15
17 38 5
29 5 63
24 5 51
8 35 33
35 34 64
8 34 71
8 30 21
21 8 100
36 27 7
37 32 62
29 33 25
33 24 59
17 19 7
7 37 68
37 21 93
23 37 66
33 34 48
32 13 93
34 19 76
29 19 97
21 4 70
16 30 53
28 33 42
34 21 33
8 17 48
38 8 56
30 41 2
25 17 94
34 38 45
34 23 29
1 24 85
1 29 12
41 17 31
23 19 39
7 41 43
4 33 82
14 25 97
13 33 44
37 13 46
29 37 70
17 28 74
32 4 48
25 21 82
12 4 44
21 28 74
28 29 11
21 41 8
19 41 46
17 26 27
16 20 7
5 19 50
8 13 35
36 14 81
14 7 69
23 13 58
25 33 63
23 7 83
4 22 71
38 21 90
7 1 45
28 32 84
13 41 81
20 4 35
38 22 65
29 24 87
29 38 60
19 14 16
4 35 69
13 1 57
35 14 50
33 5 32
28 41 89
23 21 23
24 41 42
30 4 83
34 26 44
25 4 82
38 26 33
7 25 99
38 5 70
25 34 21
41 29 84
27 14 48
14 34 8
29 34 43
22 28 38
25 8 33
35 1 100
27 32 4
13 34 35
24 19 16
20 5 61
35 29 67
21 36 38
13 12 22
26 20 96
17 1 75
41 12 77
27 21 90
1 22 20
9 32 81
20 37 55
25 12 16
33 23 12
25 16 76
16 38 54
22 36 43
21 7 8
22 41 65
28 20 81
27 17 6
12 5 7
7 8 81
7 13 72
36 38 72
32 33 20
11 35 94
22 24 67
16 7 15
22 23 20
5 21 4
21 30 65
21 35 59
4 5 38
19 7 19
41 26 41
36 1 62
26 25 75
5 32 8
20 38 27
16 35 27
25 37 63
30 28 3
38 35 92
5 35 57
34 32 39
30 38 30
35 12 29
19 38 3
7 32 73
22 19 21
41 37 89
27 4 54
22 13 1
33 22 81
16 28 96
33 41 28
34 7 43
14 26 42
37 34 97
37 28 19
17 33 95
30 34 87
27 29 11
5 25 60
38 14 12
5 22 51
26 16 38
24 28 17
25 41 28
29 14 92
16 21 8
29 32 11
1 34 84
20 24 69
36 28 61
29 30 11
24 31 52
26 35 26
4 29 61
29 13 69
30 17 48
12 22 42
5 17 41
32 26 25
24 4 83
35 24 56
12 17 76
1 41 42
23 41 4
16 12 46
19 12 82
19 26 12
37 26 90
35 22 6
37 19 81
5 26 56
35 25 56
21 13 38
8 32 62
5 34 8
4 7 44
41 5 48
5 37 64
36 33 31
10 36
9 5 12
4 2 60
7 3 79
4 7 89
1 4 93
4 9 7
7 9 14
10 5 35
5 8 97
7 6 32
4 5 83
8 1 15
5 7 86
2 3 13
3 4 30
9 1 16
2 7 88
8 4 9
7 10 61
8 3 51
1 5 22
10 4 17
8 7 8
9 2 89
8 2 31
3 9 61
10 9 35
8 10 83
3 10 21
1 2 26
10 2 72
5 3 66
2 5 89
10 1 45
8 9 85
1 7 65
22 186
10 2 43
3 2 28
8 3 31
14 17 72
19 21 83
9 8 73
6 5 47
3 20 54
20 14 79
18 5 95
15 1 3
21 7 83
7 3 88
1 18 65
12 19 22
2 4 9
14 6 3
22 14 7
21 18 49
1 10 69
15 7 82
18 17 78
12 5 68
3 10 1
14 11 63
2 15 7
5 15 73
14 9 74
12 10 70
1 22 70
15 14 79
4 21 84
4 8 2
22 2 34
15 6 40
2 14 33
7 12 8
9 22 39
10 19 14
6 2 43
21 14 99
19 18 94
2 18 46
7 17 13
1 2 23
11 9 15
14 10 86
3 1 45
12 18 54
6 11 56
9 20 75
21 13 5
11 7 53
19 15 69
5 17 84
4 17 39
6 19 75
18 4 34
11 19 22
1 17 86
21 2 77
11 21 29
9 15 55
9 21 38
11 8 28
11 2 12
17 19 70
8 21 5
14 18 18
4 7 84
8 1 65
19 2 98
6 20 17
9 7 57
15 4 4
11 20 46
6 22 61
8 19 4
3 11 22
14 8 39
16 22 46
20 15 74
15 3 97
22 10 77
5 19 86
2 5 41
15 8 64
19 3 5
8 6 56
14 12 69
21 20 46
20 17 68
22 8 27
2 8 6
8 10 60
21 15 28
12 4 62
14 1 17
21 10 38
9 18 17
18 3 93
5 14 11
5 21 47
4 6 44
10 9 83
6 12 68
1 12 52
5 4 6
4 20 31
2 7 85
20 1 66
19 4 53
6 7 58
19 20 60
1 11 8
5 11 27
7 19 98
2 17 93
20 22 32
18 22 94
5 8 62
3 14 100
12 8 15
22 21 46
7 22 28
4 22 37
5 9 1
6 9 80
7 18 93
4 9 61
5 7 66
19 1 30
9 12 12
8 7 10
1 21 60
4 3 73
11 22 40
10 6 31
1 5 94
3 12 89
6 18 97
14 7 4
3 6 2
7 10 69
10 4 45
10 15 9
20 12 89
11 10 38
1 9 39
17 10 10
15 11 12
4 11 50
19 9 39
11 12 67
18 20 95
12 15 6
3 5 19
18 11 8
15 17 10
5 20 44
22 5 30
5 10 85
8 18 97
2 9 93
7 20 45
20 2 59
20 8 22
22 15 27
1 7 1
12 21 57
4 1 56
22 12 79
21 3 89
18 10 6
22 19 82
2 12 41
6 17 13
6 21 88
20 10 34
9 3 26
14 19 63
6 1 74
3 22 24
18 15 41
4 14 97
3 17 15
31 366
10 29 17
28 17 85
8 27 58
8 18 74
22 19 94
29 14 73
4 15 66
29 21 8
4 29 36
30 1 23
27 23 58
12 28 74
19 29 33
14 10 58
30 21 13
3 8 8
18 13 67
23 3 27
7 12 96
23 14 12
23 12 5
1 18 15
9 25 97
4 30 51
29 1 32
2 11 70
19 24 18
16 3 35
31 21 72
16 15 61
18 10 26
10 31 51
19 23 45
17 24 26
17 16 33
7 28 32
6 29 45
1 23 23
9 22 38
27 17 6
16 20 97
31 19 62
24 23 100
10 2 88
9 27 1
6 21 77
28 8 22
2 21 9
25 6 34
31 23 12
22 29 100
14 22 72
30 10 83
15 21 90
7 23 50
31 7 28
13 27 78
30 18 13
24 8 21
17 21 27
23 18 81
29 13 31
8 7 83
14 16 31
10 6 81
3 19 41
18 22 8
3 15 8
18 15 82
1 15 16
2 28 84
16 9 45
7 22 34
15 8 35
1 8 89
27 12 4
11 19 63
8 17 47
1 22 90
25 14 91
4 14 86
21 9 49
25 31 20
24 31 46
27 28 47
19 2 92
8 29 37
3 30 89
17 6 87
12 15 37
30 28 86
6 4 55
4 1 97
10 12 85
6 31 31
18 21 87
31 12 99
31 8 97
15 24 11
6 27 22
21 19 78
17 13 23
2 7 46
4 28 46
28 21 52
17 30 82
18 16 65
12 16 79
15 13 92
8 10 54
14 15 96
13 31 70
2 1 50
4 16 33
1 7 48
13 9 12
16 25 68
8 25 81
6 24 41
27 29 99
21 11 14
29 9 17
7 24 58
13 3 15
13 23 74
7 18 45
1 16 42
22 8 59
16 19 66
6 13 4
30 16 39
4 9 72
30 15 14
16 24 33
30 23 52
18 19 83
24 12 6
19 27 48
27 4 62
6 1 50
9 7 97
1 31 11
19 15 8
6 30 50
31 26 25
24 25 86
21 12 99
29 31 87
31 15 95
22 6 94
3 4 54
27 11 15
27 14 91
9 15 1
23 9 13
21 14 38
28 16 66
25 30 37
24 14 51
10 23 93
1 13 41
18 24 58
4 21 42
13 28 91
4 10 43
9 14 36
2 12 70
11 14 10
17 25 52
19 28 84
24 27 6
24 30 96
30 9 43
2 25 61
21 7 29
25 11 2
13 4 25
10 9 27
12 29 76
28 6 6
14 13 65
31 4 72
25 18 94
3 21 33
17 9 31
